2013/12/12 3:45 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
4926,17:00〜18:00,12/11,17:30

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4210,17:00〜18:00,12/11,17:30

DATE,TIME,当日実績(万kW),予測値（万kW)
2013/12/12,0:00,3098,0
2013/12/12,1:00,2948,0
2013/12/12,2:00,2854,0
2013/12/12,3:00,0,0
2013/12/12,4:00,0,0
2013/12/12,5:00,0,0
2013/12/12,6:00,0,0
2013/12/12,7:00,0,0
2013/12/12,8:00,0,0
2013/12/12,9:00,0,0
2013/12/12,10:00,0,0
2013/12/12,11:00,0,0
2013/12/12,12:00,0,0
2013/12/12,13:00,0,0
2013/12/12,14:00,0,0
2013/12/12,15:00,0,0
2013/12/12,16:00,0,0
2013/12/12,17:00,0,0
2013/12/12,18:00,0,0
2013/12/12,19:00,0,0
2013/12/12,20:00,0,0
2013/12/12,21:00,0,0
2013/12/12,22:00,0,0
2013/12/12,23:00,0,0

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

メッセージＮｏ,節電お願い文
,
,

DATE,TIME,当日実績（５分間隔値）(万kW)
2013/12/12,0:00,3211
2013/12/12,0:05,3192
2013/12/12,0:10,3172
2013/12/12,0:15,3154
2013/12/12,0:20,3124
2013/12/12,0:25,3100
2013/12/12,0:30,3077
2013/12/12,0:35,3065
2013/12/12,0:40,3059
2013/12/12,0:45,3024
2013/12/12,0:50,3005
2013/12/12,0:55,2993
2013/12/12,1:00,2986
2013/12/12,1:05,3004
2013/12/12,1:10,2997
2013/12/12,1:15,2985
2013/12/12,1:20,2956
2013/12/12,1:25,2943
2013/12/12,1:30,2938
2013/12/12,1:35,2922
2013/12/12,1:40,2920
2013/12/12,1:45,2912
2013/12/12,1:50,2915
2013/12/12,1:55,2901
2013/12/12,2:00,2894
2013/12/12,2:05,2875
2013/12/12,2:10,2875
2013/12/12,2:15,2868
2013/12/12,2:20,2858
2013/12/12,2:25,2856
2013/12/12,2:30,2848
2013/12/12,2:35,2842
2013/12/12,2:40,2830
2013/12/12,2:45,2833
2013/12/12,2:50,2835
2013/12/12,2:55,2828
2013/12/12,3:00,2837
2013/12/12,3:05,2826
2013/12/12,3:10,2826
2013/12/12,3:15,2822
2013/12/12,3:20,2824
2013/12/12,3:25,2813
2013/12/12,3:30,2803
2013/12/12,3:35,2801
2013/12/12,3:40,2799
2013/12/12,3:45,2796
2013/12/12,3:50,
2013/12/12,3:55,
